class,feature,coefficient
0,bulli,10.124979134103828
0,school,8.508598877029842
0,high,3.2035688456481766
0,girl,2.950732886506763
0,school bulli,1.764820268153253
0,kid,1.3199433388113093
0,high school,1.2561218959363016
0,slut,1.1282470000263511
0,bulli school,1.0806435760381128
0,highschool,1.009701109843549
1,bulli,11.80552049707823
1,school,10.537823216123979
1,high,4.406165460039686
1,school bulli,1.9471215980161043
1,kid,1.6603395356710233
1,girl,1.5379629424110899
1,highschool,1.4252489867463667
1,bulli school,1.2229483731397752
1,high school,1.1657481937684144
1,movi,1.0159552595544439
2,school,10.859223449046723
2,bulli,6.977599565216835
2,high,5.572356174373681
2,girl,4.962171462028426
2,school bulli,4.14352910492865
2,kid,2.492409249462454
2,bulli school,2.2508621356016145
2,teacher,1.7784027578515538
2,but,1.7609093674401448
2,don,1.731843022814862
3,school,17.688519804157423
3,high,6.672952919407303
3,girl,5.571556005514966
3,bulli,3.4917245553792533
3,school bulli,3.27637218799715
3,highschool,2.6256897048552377
3,bulli school,2.228214754075828
3,kid,2.201997277563829
3,teacher,1.722366424162048
3,child,1.5523074684787574
4,bulli,10.948629576394948
4,school,9.267230730126071
4,high,3.303933480718185
4,girl,2.77236129131247
4,school bulli,1.9754892146560914
4,kid,1.5764080220391916
4,slut,1.2158207342189316
4,boy,1.1278953684953432
4,highschool,1.1236120535066823
4,bulli school,1.108644303455872
5,nigger,7.914478142898589
5,dumb,6.716032114668991
5,negro,5.363031508874857
5,ur,5.219887941609448
5,racism,4.998813973365266
5,past,4.766940342238273
5,first,4.724332040746789
5,black,4.708736215605134
5,white,4.101655707701029
5,color,3.950143275954961
