class,feature,coefficient
age,school,6.890844789678676
age,bullies,5.8659864193850115
age,high,4.5567501674939175
age,schools,4.1681647995953925
age,yard,2.853179515611557
age,adults,2.7629993898814362
age,girl,2.5996790357468704
age,girls,2.4117347187488303
age,bullied,2.388741721376026
age,middle,2.256601367588058
ethnicity,nigger,8.580533699435897
ethnicity,niggers,6.039619795245843
ethnicity,colored,5.852580846771266
ethnicity,dumb,5.796842399565847
ethnicity,negro,5.707973357194327
ethnicity,past,4.805365538833843
ethnicity,first,3.4301947093286747
ethnicity,ur,3.3955862392668354
ethnicity,black,3.2557879313853024
ethnicity,niggas,3.1715038116650165
gender,rape,6.957632114023336
gender,sexist,4.988241552230891
gender,gay,4.907320257025006
gender,notsexist,4.426401030931359
gender,jokes,4.327242987857233
gender,female,4.190284219936076
gender,females,4.042111696044712
gender,bitch,2.8399149112575595
gender,gays,2.748379312548716
gender,bitches,2.673403903122041
not_cyberbullying,beatdown,2.617007597627014
not_cyberbullying,_dirtytruths,2.2778101644036326
not_cyberbullying,andre,2.1804129723990253
not_cyberbullying,yesallwomen,1.909871120467276
not_cyberbullying,class,1.8674737316615502
not_cyberbullying,mosul,1.739278343059814
not_cyberbullying,raqqa,1.7122781514093424
not_cyberbullying,daesh,1.604967506014564
not_cyberbullying,ypg,1.6032900208087217
not_cyberbullying,oppressive,1.5835397259010289
other_cyberbullying,krainboltgreene,2.2101951552224883
other_cyberbullying,kivabay,2.1875574668131095
other_cyberbullying,blameonenotall,2.1622433511499395
other_cyberbullying,jeff,1.9328149736635423
other_cyberbullying,bullied,1.880455153913794
other_cyberbullying,taurmaurils,1.825633334044356
other_cyberbullying,idiot,1.7188984047652909
other_cyberbullying,exposing,1.716971214442358
other_cyberbullying,edzitron,1.6390044145822749
other_cyberbullying,quinnae_moon,1.627479546437824
religion,christian,7.152596069812793
religion,muslim,7.063091512338181
religion,muslims,6.302403183145014
religion,terrorism,4.583609979884332
religion,radical,3.9708535077429414
religion,islamic,3.6498598242290945
religion,islam,3.2398482932883153
religion,mohammed,3.1148284772334276
religion,jihad,3.0087195205227495
religion,quran,2.8204704170921002
