class,feature,coefficient
age,school,6.890847334233231
age,bullies,5.865986429217154
age,high,4.556745506085302
age,schools,4.16816370706622
age,yard,2.85318194178254
age,adults,2.7629992100007956
age,girl,2.5996780324807527
age,girls,2.411736247254462
age,bullied,2.3887414499870006
age,middle,2.2566013609797104
ethnicity,nigger,8.580533506253149
ethnicity,niggers,6.039619016790843
ethnicity,colored,5.8525823081298824
ethnicity,dumb,5.796843020649371
ethnicity,negro,5.707971534751445
ethnicity,past,4.805365038053387
ethnicity,first,3.4301946263743353
ethnicity,ur,3.3955848947277385
ethnicity,black,3.2557886206904034
ethnicity,niggas,3.171503802664382
gender,rape,6.957626992163592
gender,sexist,4.988242247223754
gender,gay,4.907319081642473
gender,notsexist,4.4264044758400285
gender,jokes,4.327241059003765
gender,female,4.190284653498276
gender,females,4.042113351015784
gender,bitch,2.839908033334511
gender,gays,2.748376670340713
gender,bitches,2.6734039212198377
not_cyberbullying,beatdown,2.6170052434702926
not_cyberbullying,_dirtytruths,2.277818828647993
not_cyberbullying,andre,2.180410888369333
not_cyberbullying,yesallwomen,1.9098708880262718
not_cyberbullying,class,1.8674701319501572
not_cyberbullying,mosul,1.7392831771692945
not_cyberbullying,raqqa,1.7122780295240023
not_cyberbullying,daesh,1.6049694128269263
not_cyberbullying,ypg,1.6032944468412484
not_cyberbullying,oppressive,1.5835368924716786
other_cyberbullying,krainboltgreene,2.210193360186888
other_cyberbullying,kivabay,2.187558392552111
other_cyberbullying,blameonenotall,2.162244321721908
other_cyberbullying,jeff,1.9328103084361747
other_cyberbullying,bullied,1.8804473135456892
other_cyberbullying,taurmaurils,1.8256293986572285
other_cyberbullying,idiot,1.718901106525656
other_cyberbullying,exposing,1.716973107711194
other_cyberbullying,edzitron,1.6390048185917812
other_cyberbullying,quinnae_moon,1.6274772138159164
religion,christian,7.1525964123651224
religion,muslim,7.063092239499184
religion,muslims,6.302407184410889
religion,terrorism,4.583611111104612
religion,radical,3.9708541973774643
religion,islamic,3.6498570881230465
religion,islam,3.2398484586231078
religion,mohammed,3.114827983131763
religion,jihad,3.00871971872782
religion,quran,2.820470645430651
