feature,importance
school,6.8908357729160095
bullies,5.865989153769573
high,4.556749796352001
schools,4.168163896861393
yard,2.85317864044346
adults,2.7630000063554654
girl,2.599679020116781
girls,2.4117341723863412
bullied,2.3887440426297397
middle,2.256600470805502
bully,2.092923291025442
sluts,2.0165411932638264
grade,1.913471292092503
teachers,1.831419165875808
apologies,1.8004535349275432
kids,1.703468327197673
breeding,1.6646010623757863
highschool,1.6458362866584617
jr,1.5925919413784426
teacher,1.5360682027810593
